id,surveyId,submittedAt,answers,deviceId
018f3a12-8821-4f91-8bb2-6a18d1a10001,study-habit-survey-2026,2026-09-02T14:20:00.000Z,"{""sh-q1"":""Năm 2"",""sh-q2"":""Kỹ thuật Phần mềm"",""sh-q3"":""2–4 giờ"",""sh-q4"":""5–6 ngày"",""sh-q5"":""Đêm muộn (sau 22h)"",""sh-q6"":""Ký túc xá / Nhà riêng"",""sh-q7"":""Học một mình"",""sh-q8"":[""Làm bài tập thực hành"",""Xem video bài giảng / Học liệu trực tuyến"",""Sử dụng công cụ AI (ChatGPT, Claude, Gemini...)"",""Ghi chép tóm tắt / Vẽ sơ đồ tư duy""],""sh-q9"":4,""sh-q10"":3,""sh-q11"":4,""sh-q12"":3,""sh-q13"":""Máy tính xách tay (Laptop)"",""sh-q14"":""Thường xuyên (Often)"",""sh-q15"":""6–7 giờ"",""sh-q16"":4,""sh-q17"":4,""sh-q18"":""Bị cám dỗ bởi mạng xã hội / Game"",""sh-q19"":""Tắt điện thoại khi giải thuật toán"",""sh-q20"":""Cần thêm phòng tự học ban đêm""}",device-android-01
018f3a12-8821-4f91-8bb2-6a18d1a10002,study-habit-survey-2026,2026-09-02T14:25:00.000Z,"{""sh-q1"":""Năm 3"",""sh-q2"":""Trí tuệ Nhân tạo & Khoa học Dữ liệu"",""sh-q3"":""4–6 giờ"",""sh-q4"":""Mỗi ngày (7 ngày)"",""sh-q5"":""Buổi tối (18h - 22h)"",""sh-q6"":""Thư viện trường"",""sh-q7"":""Tùy thuộc vào môn học"",""sh-q8"":[""Đọc giáo trình / Tài liệu chuyên khảo"",""Làm bài tập thực hành"",""Thực hiện các dự án thực tế"",""Sử dụng công cụ AI (ChatGPT, Claude, Gemini...)""],""sh-q9"":5,""sh-q10"":5,""sh-q11"":5,""sh-q12"":1,""sh-q13"":""Máy tính xách tay (Laptop)"",""sh-q14"":""Rất thường xuyên (Very often)"",""sh-q15"":""7–8 giờ"",""sh-q16"":5,""sh-q17"":5,""sh-q18"":""Thiếu thời gian"",""sh-q19"":""Học thêm kỹ năng quản lý dự án"",""sh-q20"":""Phương pháp học kết hợp AI rất hiệu quả""}",device-web-02
018f3a12-8821-4f91-8bb2-6a18d1a10003,study-habit-survey-2026,2026-09-02T14:32:00.000Z,"{""sh-q1"":""Năm 1"",""sh-q2"":""Công nghệ Thông tin"",""sh-q3"":""1–2 giờ"",""sh-q4"":""3–4 ngày"",""sh-q5"":""Buổi sáng (6h - 11h)"",""sh-q6"":""Ký túc xá / Nhà riêng"",""sh-q7"":""Học cùng bạn bè"",""sh-q8"":[""Xem video bài giảng / Học liệu trực tuyến"",""Làm bài tập thực hành""],""sh-q9"":2,""sh-q10"":2,""sh-q11"":3,""sh-q12"":4,""sh-q13"":""Điện thoại thông minh (Smartphone)"",""sh-q14"":""Thỉnh thoảng (Sometimes)"",""sh-q15"":""5–6 giờ"",""sh-q16"":3,""sh-q17"":3,""sh-q18"":""Thiếu tập trung"",""sh-q19"":""Giảm thời gian xem TikTok"",""sh-q20"":""Cần thêm tài liệu hướng dẫn cho sinh viên năm nhất""}",device-android-03
018f3a12-8821-4f91-8bb2-6a18d1a10004,study-habit-survey-2026,2026-09-02T14:40:00.000Z,"{""sh-q1"":""Năm 2"",""sh-q2"":""Kinh tế số & Thương mại điện tử"",""sh-q3"":""2–4 giờ"",""sh-q4"":""3–4 ngày"",""sh-q5"":""Buổi chiều (13h - 17h)"",""sh-q6"":""Quán cà phê"",""sh-q7"":""Học theo nhóm học tập (Study Group)"",""sh-q8"":[""Ghi chép tóm tắt / Vẽ sơ đồ tư duy"",""Thảo luận nhóm với bạn học"",""Xem video bài giảng / Học liệu trực tuyến""],""sh-q9"":3,""sh-q10"":4,""sh-q11"":3,""sh-q12"":3,""sh-q13"":""Máy tính bảng (Tablet / iPad)"",""sh-q14"":""Thường xuyên (Often)"",""sh-q15"":""6–7 giờ"",""sh-q16"":3,""sh-q17"":4,""sh-q18"":""Môn học quá khó / Thiếu tài liệu phù hợp"",""sh-q19"":""Tạo thói quen đọc sách 30 phút mỗi ngày"",""sh-q20"":""Không gian quán cà phê giúp dễ trao đổi nhóm hơn""}",device-web-04
018f3a12-8821-4f91-8bb2-6a18d1a10005,study-habit-survey-2026,2026-09-02T14:55:00.000Z,"{""sh-q1"":""Năm 4"",""sh-q2"":""An toàn Thông tin"",""sh-q3"":""Trên 6 giờ"",""sh-q4"":""Mỗi ngày (7 ngày)"",""sh-q5"":""Đêm muộn (sau 22h)"",""sh-q6"":""Ký túc xá / Nhà riêng"",""sh-q7"":""Học một mình"",""sh-q8"":[""Làm bài tập thực hành"",""Thực hiện các dự án thực tế"",""Đọc giáo trình / Tài liệu chuyên khảo"",""Sử dụng công cụ AI (ChatGPT, Claude, Gemini...)""],""sh-q9"":4,""sh-q10"":4,""sh-q11"":4,""sh-q12"":2,""sh-q13"":""Máy tính để bàn (Desktop PC)"",""sh-q14"":""Rất thường xuyên (Very often)"",""sh-q15"":""Dưới 5 giờ"",""sh-q16"":5,""sh-q17"":4,""sh-q18"":""Căng thẳng, áp lực thi cử (Stress)"",""sh-q19"":""Cân bằng giữa nghiên cứu và ngủ đủ giấc"",""sh-q20"":""Áp lực đồ án tốt nghiệp cần nhiều thời gian""}",device-web-05
018f3a12-8821-4f91-8bb2-6a18d1a10006,study-habit-survey-2026,2026-09-02T15:02:00.000Z,"{""sh-q1"":""Năm 3"",""sh-q2"":""Mạng Máy tính & Truyền thông"",""sh-q3"":""2–4 giờ"",""sh-q4"":""5–6 ngày"",""sh-q5"":""Buổi tối (18h - 22h)"",""sh-q6"":""Thư viện trường"",""sh-q7"":""Tùy thuộc vào môn học"",""sh-q8"":[""Làm bài tập thực hành"",""Xem video bài giảng / Học liệu trực tuyến"",""Thực hiện các dự án thực tế""],""sh-q9"":3,""sh-q10"":3,""sh-q11"":4,""sh-q12"":2,""sh-q13"":""Máy tính xách tay (Laptop)"",""sh-q14"":""Thường xuyên (Often)"",""sh-q15"":""7–8 giờ"",""sh-q16"":4,""sh-q17"":4,""sh-q18"":""Không gian học tập ồn ào / Chưa phù hợp"",""sh-q19"":""Lập kế hoạch trước ngày thi"",""sh-q20"":""Thư viện là nơi yên tĩnh nhất để tập trung""}",device-android-06
018f3a12-8821-4f91-8bb2-6a18d1a10007,study-habit-survey-2026,2026-09-02T15:15:00.000Z,"{""sh-q1"":""Năm 1"",""sh-q2"":""Quản trị Kinh doanh Số"",""sh-q3"":""Dưới 1 giờ"",""sh-q4"":""1–2 ngày"",""sh-q5"":""Buổi sáng (6h - 11h)"",""sh-q6"":""Ký túc xá / Nhà riêng"",""sh-q7"":""Học một mình"",""sh-q8"":[""Xem video bài giảng / Học liệu trực tuyến"",""Ghi chép tóm tắt / Vẽ sơ đồ tư duy""],""sh-q9"":2,""sh-q10"":1,""sh-q11"":2,""sh-q12"":5,""sh-q13"":""Điện thoại thông minh (Smartphone)"",""sh-q14"":""Hiếm khi (Rarely)"",""sh-q15"":""Trên 8 giờ"",""sh-q16"":2,""sh-q17"":2,""sh-q18"":""Thiếu động lực học tập"",""sh-q19"":""Rèn luyện kỷ luật bản thân"",""sh-q20"":""Cần tham gia các nhóm học tập tích cực""}",device-android-07
018f3a12-8821-4f91-8bb2-6a18d1a10008,study-habit-survey-2026,2026-09-02T15:30:00.000Z,"{""sh-q1"":""Năm 2"",""sh-q2"":""Khoa học Máy tính"",""sh-q3"":""4–6 giờ"",""sh-q4"":""5–6 ngày"",""sh-q5"":""Đêm muộn (sau 22h)"",""sh-q6"":""Phòng tự học / Giảng đường"",""sh-q7"":""Học một mình"",""sh-q8"":[""Làm bài tập thực hành"",""Đọc giáo trình / Tài liệu chuyên khảo"",""Sử dụng công cụ AI (ChatGPT, Claude, Gemini...)""],""sh-q9"":4,""sh-q10"":5,""sh-q11"":5,""sh-q12"":2,""sh-q13"":""Máy tính xách tay (Laptop)"",""sh-q14"":""Rất thường xuyên (Very often)"",""sh-q15"":""6–7 giờ"",""sh-q16"":4,""sh-q17"":5,""sh-q18"":""Quản lý thời gian kém / Thiếu thời gian"",""sh-q19"":""Tối ưu hóa thời gian chạy code"",""sh-q20"":""AI giúp giải thích lỗi cú pháp cực kỳ nhanh""}",device-web-08
018f3a12-8821-4f91-8bb2-6a18d1a10009,study-habit-survey-2026,2026-09-02T15:45:00.000Z,"{""sh-q1"":""Năm 3"",""sh-q2"":""Thiết kế Đồ họa & Đa phương tiện"",""sh-q3"":""2–4 giờ"",""sh-q4"":""5–6 ngày"",""sh-q5"":""Buổi chiều (13h - 17h)"",""sh-q6"":""Quán cà phê"",""sh-q7"":""Học cùng bạn bè"",""sh-q8"":[""Xem video bài giảng / Học liệu trực tuyến"",""Thực hiện các dự án thực tế"",""Ghi chép tóm tắt / Vẽ sơ đồ tư duy""],""sh-q9"":3,""sh-q10"":3,""sh-q11"":4,""sh-q12"":3,""sh-q13"":""Máy tính bảng (Tablet / iPad)"",""sh-q14"":""Thỉnh thoảng (Sometimes)"",""sh-q15"":""7–8 giờ"",""sh-q16"":3,""sh-q17"":4,""sh-q18"":""Không gian học tập ồn ào / Chưa phù hợp"",""sh-q19"":""Học cách tập trung sâu (Deep Work)"",""sh-q20"":""Cảm hứng thị giác rất quan trọng khi làm đồ án""}",device-android-09
018f3a12-8821-4f91-8bb2-6a18d1a10010,study-habit-survey-2026,2026-09-02T16:00:00.000Z,"{""sh-q1"":""Năm 2"",""sh-q2"":""Kỹ thuật Phần mềm"",""sh-q3"":""2–4 giờ"",""sh-q4"":""3–4 ngày"",""sh-q5"":""Buổi tối (18h - 22h)"",""sh-q6"":""Ký túc xá / Nhà riêng"",""sh-q7"":""Tùy thuộc vào môn học"",""sh-q8"":[""Làm bài tập thực hành"",""Xem video bài giảng / Học liệu trực tuyến"",""Thảo luận nhóm với bạn học""],""sh-q9"":3,""sh-q10"":3,""sh-q11"":3,""sh-q12"":4,""sh-q13"":""Máy tính xách tay (Laptop)"",""sh-q14"":""Thường xuyên (Often)"",""sh-q15"":""6–7 giờ"",""sh-q16"":4,""sh-q17"":3,""sh-q18"":""Bị cám dỗ bởi mạng xã hội / Game"",""sh-q19"":""Bật chế độ tập trung trên điện thoại"",""sh-q20"":""Nên học nhóm các môn lập trình chuyên ngành""}",device-web-10
